176.5,18.66,44.63
16.92,70.67,26.99
169.75,20.16,61.8
61.14,114.3,18.94
169.95,20.18,61.6
175.01,20,47.02
177.5,18.48,44.33
177.48,21.82,42.92
357.42,159.23,16.82
81.95,56.45,5.9
129.66,136,2.22
15.01,73.44,27.27
169.86,21.66,1.03
134.48,136.29,5.59
19.38,71.31,16.79
17.61,70.14,15.96
60.05,113.48,7.08
173.8,20.44,45.46
82.13,58.11,6.04
83.14,57.87,55.67
134.71,136.25,4.92
16.85,70.92,28.57
172.69,18.86,49.06
137.95,137.05,7.89
172.34,19.81,48.58
132.81,136.76,4.66
173.11,19.7,47.53
145.2,77.9,30.42
170.58,19.55,49.68
17.17,71.09,14.03
132.06,137.26,16.03
83.4,56.74,6.51
129.55,136.08,1.67
16.3,69.89,17.53
146.52,76.73,19.85
16.34,70.64,26.54
17.27,70.6,27.58
131.99,135.7,4.07
17.2,70.11,18.14
172.32,18.46,349.97
60.18,114.4,7.84
128.93,136.45,13
145.1,78.44,18.32
17.87,70.28,26.41
84.28,56.9,6.3
130.34,136.9,13.76
17.89,71.07,16.56
62.41,114.78,7.98
60.4,114.94,7.22
145.94,75.91,30.94
19.3,71.99,15.75
17.75,71.49,16.39
146.9,77.33,17.79
62.2,113.32,19.92
174.15,18.98,57.15
145.2,76.9,17.41
144.25,79.29,19.96
146.17,77.06,31.29
60.82,114.49,7.83
82.85,56.5,6.64
17.56,71.27,16.78
18.65,72.71,29.56
16.23,71.44,27.23
61.54,113.63,7.26
17.46,72.81,15.57
176.88,20.68,43.39
60.91,113.64,8.34
82.94,59.15,8.08
18.24,72.34,16.04
147.12,75.76,30.71
146.38,77.68,28.82
19.94,71.3,13.84
176.87,19.89,43.21
131.77,137.33,3.73
145.46,77.41,30.09
135.29,137.55,10.94
132.52,136.32,15.85
171.81,20.71,58.3
145.03,77.16,29.51
176.76,19.14,45.53
132.79,136.25,4.48
144.98,78.54,30.08
133.25,138.39,4.34
173.15,20.68,47.52
60.6,115.79,8.19
62.14,112.74,8.91
16.64,71.6,28.29
146.21,76.23,30.57
174.11,19.2,47.41
83.7,56.49,7.13
60.36,112.74,18.55
63.32,113.02,9.89
145.96,77.79,30.65
60.45,114.06,7.04
132.68,135.74,4.27
145.89,76.5,18.73
131.69,136.31,14.43
131.73,137.26,15.97
131.9,135.74,13.63
175.82,18.59,45.9
146.47,77.62,19.56
171.57,20.59,49.39
61.52,112.61,8.27
16.81,72.13,13.36
132.51,136.4,7.12
131.54,135.13,3.53
145.58,77.19,16.34
84.07,57.29,7.76
83.81,58.04,57.22
62.28,115.42,7.98
172.54,20.33,48.37
16.77,69.76,16.73
146.6,77.71,29.65
145.23,77.16,29.53
174.25,19.77,46.75
173.68,19.88,47.05
18.47,70.3,26.68
131.68,138.38,15.82
133.44,137.15,16.84
131.35,136.63,2.27
173.84,18.74,49.01
17.02,71.08,27.05
176.74,18.91,44.71
174.85,18.72,47.68
60.4,115.19,7.46
62.4,114.83,19.3
83.12,58.09,6.52
144.58,77.21,18.5
83.58,56.31,7.25
132.14,137.27,3.77
81.81,59.39,6.82
59.29,116.36,8.58
175.27,20.13,46
170.81,19.72,50.25
131.24,136.01,3.48
19.82,71.69,28.11
135.86,135.75,5.77
84.83,57.68,55.68
354.57,160.07,2.31
17.69,71.41,14.15
168.73,20.08,51.22
83.44,56.56,6.56
18.51,70.94,26.74
82.12,57.95,6.63
133.32,135.8,13.79
175.72,19.56,46.31
17.49,70.61,17.42
60.95,114.28,7.09
82.2,57.83,6.31
134.21,134.77,14.95
17.06,69.81,26.66
173.19,21.05,47.65
61.46,112.51,9.59
356.36,160.95,15.88
145,77.36,29.23
132.99,136.43,5.48
145.04,76.55,17.52
178.15,19.88,43.58
177.41,19.13,44.59
62.76,113.96,8.94
177.35,19.97,44.52
85.1,56.1,6.65
133.27,134.1,13.16
146.71,76.77,19.39
130.36,137.96,2.92
131.97,137.2,3.97
61.19,115.79,18.79
173.13,19.24,46.59
146.09,76.69,29.88
174.89,19.62,58.46
144.73,76.26,16.75
17.53,71.67,26.8
147.01,78.06,16.88
133.08,135.16,3.9
176.43,18.55,45.35
18.32,72.36,14.1
144.49,77.78,28.95
17.81,69.18,18.16
17.81,70.38,19.13
177.5,19.06,44.25
62.43,114.27,9.43
133.42,136.87,5.91
60.74,115.25,7.89
175.09,19.64,46.35
16.72,70.21,16.91
60.56,113.06,7.96
131.13,136.52,2.3
176.03,20.46,44.17
174.4,19.59,47.32
145.13,76.6,20.78
17.23,71.15,16.38
132.48,136.04,4.39
16.39,71.87,27.73
162.02,20,0.43
83.36,56.82,57.07
61.64,115.92,19.43
